name,desc,reduce
太平洋/雅浦岛,楚克时间,10
澳大利亚/LHI,豪勋爵岛标准时间,10.5
澳大利亚/豪勋爵岛,豪勋爵岛标准时间,10.5
南极洲/麦夸里岛,麦夸里岛时间,11
亚洲/库页岛,库页岛时间,11
亚洲/符拉迪沃斯托克,符拉迪沃斯托克时间,11
Etc/GMT-11,GMT+11:00,11
太平洋/埃法特岛,瓦努阿图时间,11
太平洋/瓜达康纳尔岛,所罗门群岛时间,11
太平洋/科斯瑞,科斯瑞时间,11
太平洋/努美阿,新喀里多尼亚时间,11
太平洋/波纳佩,波纳佩时间,11
太平洋/波纳佩,波纳佩时间,11
SST,所罗门群岛时间,11
太平洋/诺福克,诺福克时间,11.5
南极洲/麦克默多,新西兰标准时间,12
南极洲/南极点,新西兰标准时间,12
亚洲/阿纳德尔,阿纳德尔时间,12
亚洲/堪察加半岛,堪察加半岛彼得罗巴甫洛夫斯克时间,12
亚洲/马嘉丹,马嘉丹时间,12
Etc/GMT-12,GMT+12:00,12
夸贾林环礁,马绍尔群岛时间,12
NST,新西兰标准时间,12
NZ,新西兰标准时间,12
太平洋/奥克兰,新西兰标准时间,12
太平洋/斐济,斐济时间,12
太平洋/富纳富提,图瓦卢时间,12
太平洋/夸贾林环礁,马绍尔群岛时间,12
太平洋/马朱罗,马绍尔群岛时间,12
太平洋/瑙鲁,瑙鲁时间,12
太平洋/塔拉瓦岛,吉尔伯特群岛时间,12
太平洋/威克岛,威克岛时间,12
太平洋/瓦利斯,瓦利斯和富图纳时间,12
NZ-CHAT,查塔姆标准时间,12.75
太平洋/查塔姆,查塔姆标准时间,12.75
Etc/GMT-13,GMT+13:00,13
MIT,西萨摩亚时间,13
太平洋/阿皮亚,西萨摩亚时间,13
太平洋/恩德伯里岛,菲尼克斯群岛时间,13
太平洋/汤加塔布,汤加时间,13
Etc/GMT-14,GMT+14:00,14
太平洋/克里斯马斯,莱恩群岛时间,14
